detector spec
eiger4m_single_image AD_EIGER2
xray_eye3_image AD_TIFF
eiger500K_single_image AD_EIGER2
eiger1m_single_image AD_EIGER2
image AD_EIGER2
eiger4m_manual_image AD_EIGER_SLICE
eiger1m_manual_image AD_EIGER_SLICE
eiger500k_manual_image AD_EIGER_SLICE
OAV_image AD_TIFF
xray_eye2_image AD_TIFF
xray_eye1_image AD_TIFF
eiger1m_image AD_EIGER
eiger4m_image AD_EIGER
fs_pbs_image AD_TIFF
bpm_cam_img_image_lightfield AD_TIFF
eiger_cam_img_image_lightfield AD_EIGER
eiger_4M_cam_img_image_lightfield AD_EIGER
xray_cam_img_image_lightfield AD_TIFF
fs1_cam_img_image_lightfield AD_HDF5
fs1_cam_image_lightfield AD_TIFF
