timestamp,scan:eiger1m_single_image(fileusage)
2017-11-05 02:24:51,46957152
2017-11-05 02:38:22,1008964759
2017-11-05 11:14:45,45532438
2017-11-05 11:15:15,45603559
2017-11-05 11:22:46,1004196496
2017-11-05 11:52:08,1011499886
2017-11-05 12:37:57,1021639460
2017-11-05 13:11:43,1026682065
2017-11-05 13:45:38,1028238422
2017-11-05 14:19:21,1027901640
2017-11-05 14:53:04,1027031975
2017-11-05 15:26:54,1026326027
2017-11-05 16:00:47,1027064701
2017-11-05 16:34:28,1027370933
2017-11-05 17:08:14,1027592292
2017-11-05 17:42:08,1027851177
2017-11-05 18:15:58,1028091998
2017-11-05 18:49:43,1028482393
2017-11-05 19:35:00,1009739682
2017-11-05 20:08:49,1015846283
2017-11-05 20:42:41,1021972059
2017-11-05 21:16:27,1026739279
2017-11-05 21:50:20,1028316722
2017-11-05 22:24:24,1028000037
2017-11-05 22:58:10,1027164355
2017-11-05 23:32:02,924925863
2017-11-06 00:02:32,797030611
2017-11-06 00:28:42,694367396
2017-11-06 00:51:31,591539934
2017-11-06 01:10:54,463022464
2017-11-06 01:26:01,360145581
2017-11-06 01:38:24,257280296
2017-11-06 01:52:05,1009356168
2017-11-06 02:25:56,1015449727
2017-11-06 02:59:54,1021492694
2017-11-06 03:33:49,1026551892
2017-11-06 04:07:55,1028232603
2017-11-06 04:41:42,1027944956
2017-11-06 05:15:44,1027080898
2017-11-06 05:49:39,924887412
2017-11-06 06:20:14,796997566
2017-11-06 06:46:38,694354240
2017-11-06 07:09:34,591555824
2017-11-06 07:29:04,463013709
2017-11-06 07:44:16,360149268
2017-11-06 07:56:42,257269944
2017-11-06 08:07:20,906456831
2017-11-06 08:41:23,906458268
2017-11-06 09:15:17,181289604
2018-06-05 21:33:05,2239578048
2018-06-05 21:41:42,1783056956
2018-06-05 21:49:33,1028410502
2018-06-05 22:06:21,72715790
2018-06-05 22:08:34,145038337
2018-06-05 22:10:04,262340849
2018-06-05 22:12:35,286303964
2018-06-05 22:14:54,48075847
2018-06-05 22:47:50,432905233
2018-06-05 22:50:32,420300343
2018-06-05 22:56:00,421799498
2018-06-05 22:58:33,192428354
2018-06-05 23:00:22,433490816
2018-06-05 23:06:15,445364381
2018-06-05 23:08:57,425470472
2018-06-06 01:44:38,502162855
2018-06-06 01:52:01,198545311
2018-06-06 01:54:10,440923786
2018-06-06 01:56:48,439196126
2018-06-06 14:22:02,1416964694
2018-06-06 14:30:19,431302649
2018-06-06 14:33:48,435385345
2018-06-06 14:36:05,431687794
2018-06-06 14:38:49,436011938
2018-06-06 14:43:58,434649945
2018-06-06 14:46:26,430152184
2018-06-06 14:49:45,411181675
2018-06-06 16:02:45,436939685
